ID,Q19,Q19_ENG,Q19_CAT
303,No xq solo abre la llave y usa el agua,No because just turn on the tap and use the water,No
304,"No, porque tiene tiempo. Cuando sus hijos no estan de vacaciones, si le quita mucha tiempo","No because she has time. When her children are not on vacation, it takes up a lot of time ",No
305,"No, porque se reparten las tarea entre tres",No because the work is divided between three,No
306,No,No,No
307,"No, y ahora tienen mayor organizacion por sus actividades",No and now they have better organization for their activities,No
308,"Si. Porque tiende a ser tedioso, que por ejemplo una persona tiene que hacer cosas y debe estar al pendiente del agua.","Yes. Because it tends to be tedious, for example one person has to do thing and must be looking for water",Yes
309,"Siempre esta al pendiente si llego o roanta llego, xq sino se queda sin agua","She is always on the lookout for water to arrive or not, because otherwrise she runs out of water ",Yes
310,"Si, en lo que se llena el tinaco y para hervir el agua","Yes, while the tank is filled and to boil the water",Yes
311,"Si, tienen que estar al pendiente de que salga agua y de que se llenen sus contenedores","Yes, they need to be aware that water is coming out and that they are filling up their containers ",Yes
312,No,No,No
313,No,No,No
314,"Si, interrumpe actividade importantes, y requiere esfuerzo fisico","Yes, it interrupts important activities, and requires physical effort",Yes
315,"Poco, le parece bien: No, no es tanto tiempo, pero ella no es quien le hace","Small, it seems okay.: No, it is not a lot of time, but she is not the person who does it",No
316,"Si, lo normal seria que les llegara por lo menos 3 dias a la semana","Yes, it is normal for them to arrive at least 3 days a week",Yes
317,No. Ella siente que no invierte mucho tiempo.,No. She feels that it does not take a lot of time,No
318,"No, no es mucho tiempo","No, it is not a lot of time",No
319,"Poco, le parece bien: Ahora esta bien - antes pedian pipe lejos y filan enorme (poletica de alcaldca - antes era mas caro). Ahora mejor, no encaseo. ","Small, it seems okay: RIght now it is good. Before, they got pipes from far away and had a long line (a policy from the mayor - it used to be more expensive). Now it is better.",No
320,"Poco, le parece bien","Small, it seems okay",No
321,"Poco, le parece bien","Small, it seems okay",No
322,NA,,NA
323,"Poco, le parece bien","Small, it seems okay",No
324,"Poco, le parece bien",Small it seems okay,No
325,"Poco, le parece bien","Small, it seems okay",No
326,Poco le parece bien: son afortunados. Senor de garrafon pare en la noche (11 pm),"Small, it seems okay: they are fortunate",No
327,"Poco, le parece bien - unos 10 min","Small, it seems okay: 10 mins",No
328,"Poco, le parece bien","Small, it seems okay ",No
329,ya se acostumbre.,She is already used to it,Other
330,Es mas tiempo del le gustaria: es mas pesado y complicado sacando agua. sacar unos 5 bote al dia,It's more time than they would like: It's very heavy and complicated to take out water. Take out 5 bottles per day,Yes
331,Poco le parece bien ,"Small, it seems okay",No
332,"Al principio les costaba, habia molestias y otras familias. Ahora ya adaptado a los tiempos. ","At first it was difficult, there were inconveniences and  other families. Now, they are used to the times.",Other
333,Es mas tiempo del gustaria: Es tedioso,It's more time than they would like: It's tedious,Yes
334,"Poco, le parece bien: No se dedica solo a recolectar el agua/fluse otros cosas.","Small, it seems okay: They are not only dedicated to collecting water/flowing other things",No
335,"Poco, le parece bien","Small, it seems okay",No
336,"Poco, le parece bien","Small, it seems okay",No
337,"Es mas tiempo del le gustaria: se tarda llenar la pileta,hasta 1.5 horas","It's more time than they would like: It's late to fill up the pipe, takes 1.5 hours",Yes
338,"Poco, le parece bien","Small, it seems okay",No
339,Poco le parece bien: normal,Small it seems okay: normal,Somewhat
340,"Poco, le parece bien","Small, it seems okay ",No
341,"Poco, le parece bien","Small, it seems okay",No
342,Es mas tiempo del le gustaria,It's more time than they would like ,Yes
343,Es mas tiempo del le gustaria: Si es mucho. A vece fila 10 pm y espera hasta 1 am y luego deja de caer. Llena yo todo lo que tiene.  ,"It's more time than they would like: Yes it's a lot. Sometimes I line up at 10 pm and wait until 1 am, then [water] stop coming.  I fill up everything I have",Yes
344,Es mas tiempo del le gustaria: 2 horas por dia - Madrugada - interrupe horas de sueno,It's more time than they would like: 2 hours per day - in the early morning - interrupts hours of sleep. ,Yes
345,Es mas tiempo del gustaria: Es mucho tiempo,It's more time than they would like: It's a lot of time,Yes
346,"Poco, le parece bien","Small, it seems okay",No
347,Es mas tiempo del le gustaria: Le quita horas de sueno. 3 horas de madrugada,It's more time than they would like: It takes away hours of sleep. 3 hours in the early morning,Yes
348,Es mas tiempo del le gustaria,It's more time than they would like,Yes
349,Es mas tiempo del le gustaria: tiene que esperar pero lo,It's more time than they would like: She needs to wait but,Yes
350,Es mas tiempo del le gustaria,It's more time than they would like,Yes
351,"Poco le parece bien: Bien, son parejos son consistente","Small, it seems okay: They are even, they are consistent",No
352,Poco le parece bien,"Small, it seems okay",No
353,Es mas tiempo del le gustaria: como somos muchas personas la vecindad tenen que invertir mucho tiempo,"It's more time than they would like: Since there is a lot of us, the community needs to spend a lot of time",Yes
354,"No lleva mucho tiempo, es necesidad","It doesn't take much time, it is necessary",No
355,"Poco, le parece bien","Small, it seems okay",No
356,"Poco, le parece bien","Small, it seems okay",No
357,"Poco, le parece bien: despacha muy rapido. Lo lavan rapidito","Small, it seems okay: Ships it very quickly. She washes it very quickly",No
358,Es mas tiempo del le gustaria: mucho xq llega de noche,It's more time than they would like: A lot because it arrives at night,Yes
359,Poco le parece bien,"Small, it seems okay",No
360,"Poco, le parece bien: no usa","Small, it seems okay: Doesn't use it",No
361,"Poco, le parece bien",Small it seems okay,No
362,"Poco, le parece bien","Small, it seems okay",No
363,Es mas tiempo del le gustaria,It's more time than they would like,Yes
364,Es mas tiempo del le gustaria - Le gustaria dar mas tiempo. ,It's more time than they would like: Would like to give more time,Yes
365,"Poco, le parece bien","Small, it seems okay",No
366,Es mas tiempo del le gustaria,It's more time than they would like,Yes
367,"Poco, le parece bien: no le molesta hacerle","Small, it seems okay: It does not bother her to do it",Other
368,Es mas tiempo del le gustaria,It's more time than they would like,Yes
369,"Poco, le parece bien","Small, it seems okay",No
370,"Poco, le parece bien","Small, it seems okay",No
371,Es mas tiempo del le gustaria: le gustaria abrir llave y salga siempre limpia,It's more time than they would like: Would like to open the tap and it comes out clean,Yes
372,"Poco, le parece bien","Small, it seems okay",No
373,"Poco, le parece bien","Small, it seems okay ",No
374,Es mas tiempo del le gustaria,It's more time than they would like,Yes
375,"Poco, le parece bien","Small, it seems okay",No
376,"Poco, le parece bien","Small, it seems okay",No
377,"Poco, le parece bien","Small, it seems okay",No
378,Es mas tiempo del le gustaria,It's more time than they would like ,Yes
379,"Poco, le parece bien","Small, it seems okay",No
380,"Poco, le parece bien",Small it seems okay,No
381,Es mas tiempo del le gustaria,It's more time than they would like,Yes
382,Es mas tiempo del le gustaria,It's more time than they would like,Yes
383,Es mas tiempo del le gustaria,It's more time than they would like,Yes
384,"Es mas tiempo del le gustaria: antes, en otra (?), menos tiempo","It's more time than they would like: Before, in other, less time",Yes
385,"Poco, le parece bien","Small, it seems okay",No
386,"Poco, le parece bien","Small, it seems okay",No
387,"Poco, le parece bien","Small, it seems okay ",No
388,"Poco, le parece bien","Small, it seems okay",No
389,"Poco, le parece bien","Small, it seems okay",No
390,"Poco, le parece bien","Small, it seems okay",No
391,"Poco, le parece bien","Small, it seems okay",No
392,"Poco, le parece bien","Small, it seems okay",No
393,"Poco, le parece bien",Small it seems okay,No
394,Es mas tiempo del le gustaria,It's more time than they would like,Yes
395,"Poco, le parece bien","Small, it seems okay",No
396,Es mas tiempo del le gustaria,It's more time than they would like,Yes
397,"Poco, le parece bien","Small, it seems okay",No
398,"Poco, le parece bien","Small, it seems okay",No
399,Es mas tiempo del le gustaria,It's more time than they would like,Yes
400,"Poco, le parece bien: Ya nos acostumbramos","Small, it seems okay: We are already used to it",Other
401,"Poco, le parece bien","Small, it seems okay",No
402,Es mas tiempo del le gustaria,It's more time than they would like,Yes
403,Es mas tiempo del le gustaria,It's more time than they would like,Yes
404,"Poco, le parece bien","Small, it seems okay",No
405,Poco le parece bien: se organiza,Small it seems okay: Organized,No
406,"Poco, le parece bien","Small, it seems okay",No
407,Si es pedido de tiempo - venia a venderle garrafon - no coincidiad. Una vez tiempo tinieron y ir a compras (?),"Yes, it requires time. ",Yes
408,"Poco, le parece bien","Small, it seems okay",No
409,Depende - a veces purificadoras se tarden 1 montes,Depends - sometimes the purifiers are late 1 month,Somewhat
410,Es mas tiempo del le gustaria,Its more time than they would like,Yes
411,"Es mas tiempo del le gustaria: tiene que bajar, checar que salga limpia. Podria estar hacerlo otras cosas","She has to go down, check that the water comes out clean. She could be doing other things ",Yes
412,"Poco, le parece bien","Small, it seems okay",No
413,"Poco, le parece bien","Small, it seems okay",No
414,"Poco, le parece bien","Small, it seems okay",No
415,Es mas tiempo del le gustaria,Its more time than they would like,Yes
416,Es mas tiempo del le gustaria,Its more time than they would like,Yes
417,Es mas tiempo del le gustaria,Its more time than they would like,Yes
418,"Poco, le parece bien","Small, it seems okay",No
419,"Poco, le parece bien: Normal","Small, it seems okay: Normal",Somewhat
420,"Poco, le parece bien","Small, it seems okay",No
421,"Poco, le parece bien","Small, it seems okay",No
422,"Poco, le parece bien","Small, it seems okay ",No
423,Es mas tiempo del le gustaria,It's more time than they would like,Yes
424,"Poco, le parece bien","Small, it seems okay",No
425,"Poco, le parece bien","Small, it seems okay",No
426,"Poco, le parece bien","Small, it seems okay",No
427,Es mas tiempo del le gustaria: todos las mananas,It's more time than they would like: every morning,Yes
428,"Poco, le parece bien","Small, it seems okay",No
429,"Poco, le parece bien","Small, it seems okay",No
430,Es mas tiempo del le gustaria,It's more time than they would like,Yes
431,"Poco, le parece bien","Small, it seems okay",No
432,"Poco, le parece bien","Small, it seems okay",No
433,"Poco, le parece bien: no mal","Small, it seems okay: not bad ",Other
434,Es mas tiempo del le gustaria: Cuando piden pipas no se puede salir de la casa,"It's more time than they would like: When they fill the pipes, she cannot leave the house",Yes
435,"Poco, le parece bien","Small, it seems okay",No
436,Es mas tiempo del le gustaria,It's more time than they would like,Yes
437,Es mas tiempo del le gustaria,It's more time than they would like,Yes
438,Es mas tiempo del le gustaria,It's more time than they would like,Yes
439,Es mas tiempo del le gustaria,It's more time than they would like,Yes
440,"Poco, le parece bien: moderado. sabes la hora es deber hacerlo ","Small, it seems okay: Moderate. Knows the hour is necessary to do it.",Somewhat
441,Es mas tiempo del le gustaria: se acostumbro. Ya sabe horasios. ya calculado,It's more time than she would like: She's gotten used to it. She already knows the hours. She's already calculated it. ,Other
442,Es mas tiempo del le gustaria: llenar un tambo --> hasta media hora. Garrafon grande conido a mitad -> usa como tria,It's more time than they would like,Yes
443,"Poco, le parece bien","Small, it seems okay",No
444,Es mas tiempo del le gustaria: en ocasiones es bastante tiempo - mucho demanda.,It's more time than they would like: Sometimes it's a pretty long time - it is very demanding,Yes
445,"Poco, le parece bien","Small, it seems okay",No
446,"Poco, le parece bien: no lo ve como un problema ","Small, it seems okay: SHe doesnt see it as a problem",No
447,"Poco, le parece bien: ya se acostumbre - al principio fue terrible - temporada que no caia agua en muchos meses --> hace unos 10 anos","Small, it seems okay: She's already got used to it - at first it was terrible - a season where there was no rain for many months - 10 years ago",Other
448,"Poco, le parece bien","Small, it seems okay",No
449,"Es mas tiempo del le gustaria: y estar al pendiente de si cae o no. Llega de escuela --> llenar tambos, lavarlos --> si no llega temprano ya no quede",It's more time than they would like: and be aware of whether it rains or not. She arrives from school --> fills up the containers --> washes them --> if she does not arrive ealry there is no more,Yes
450,Es mas tiempo del le gustaria,It's more time than they would like,Yes
451,"Poco, le parece bien: Solo cru(?)an calle","Small, it seems okay",No
452,Es mas tiempo del le gustaria,It's more time than they would like,Yes
453,"Poco, le parece bien: ","Small, it seems okay",No
454,"Poco, le parece bien","Small, it seems okay ",No
455,Es mas tiempo del le gustaria: esta es parte de ariba: correr ariba y abajo,"It's more time than they would like: This is the top part, runs up and down",Yes
456,Es mas tiempo del le gustaria: Deja de hacer cosas por estar el pediente de la llegado de agua,It's more time than they would like: She stops doing other things because she is waiting for the water to arrive,Yes
457,Es mas tiempo del le gustaria,It's more time than they would like,Yes
458,Es mas tiempo del le gustaria,It's more time than they would like,Yes
459,"Poco, le parece bien","Small, it seems okay",No
460,Es mas tiempo del le gustaria: no deberia ser asi - deberia se (?) lo min - se le complica por trabajo,It's more time than they would like,Yes
461,"Poco, le parece bien","Small, it seems okay",No
462,"Poco, le parece bien","Small, it seems okay",No
463,"Poco, le parece bien","Small, it seems okay",No
464,"Poco, le parece bien","Small, it seems okay",No
465,Es mas tiempo del le gustaria: porque el agua se usa por todo,It's more time than they would like: Because the water is used for everything,Yes
466,"Poco, le parece bien","Small, it seems okay",No
467,"Poco, le parece bien","Small, it seems okay",No
468,"Poco, le parece bien: a hija le gusta hacerlo","Small, it seems okay: Her daughter likes to do it",Other
469,"Poco, le parece bien","Small, it seems okay",No
470,"Poco, le parece bien","Small, it seems okay",No
471,NA,,NA
472,"Poco, le parece bien","Small, it seems okay",No
473,"Poco, le parece bien","Small, it seems okay",No
474,"Poco, le parece bien","Small, it seems okay",No
475,"Poco, le parece bien","Small, it seems okay",No
476,"Poco, le parece bien","Small, it seems okay",No
477,"Poco, le parece bien","Small, it seems okay",No
478,Es mas tiempo del le gustaria: a veces no alcanzan a llenarse,It's more time than they would like: Sometimes it does not fill up enough ,Yes
479,Es mas tiempo del le gustaria: es mucho tarde mucho es llenar,It's more time than they would like: It's very late and very full,Yes
480,"Poco, le parece bien","Small, it seems okay",No
481,"Poco, le parece bien","Small, it seems okay",No
482,"Poco, le parece bien","Small, it seems okay",No
483,"Poco, le parece bien","Small, it seems okay",No
484,"Poco, le parece bien","Small, it seems okay",No
485,"Es mas tiempo del le gustaria: Por las noches, no descansa","It's more time than they would like: In the nights, no sleep",Yes
486,"Poco, le parece bien: Dejan solo una hora - cambia no siempre (?)","Small, it seems okay: They leave only one hour",No
487,"Poco, le parece bien","Small, it seems okay",No
488,"Poco, le parece bien","Small, it seems okay",No
489,"Poco, le parece bien","Small, it seems okay",No
490,Es mas tiempo del le gustaria: podria (?) para otra cosas,It's more time than they would like: Could for other things,Yes
491,"Poco, le parece bien","Small, it seems okay",No
492,"Poco, le parece bien","Small, it seems okay",No
493,"Poco, le parece bien: otra personas se pasan en la madrugada","Small, it seems okay: Other people pass by in the early morning",No
494,"Poco, le parece bien: cuando no hay agua tienen que (?) todo el dia y noche","Small, it seems okay: When there is no water, they have to wait all day and night",No
495,"Poco, le parece bien: porque tienen cisterna. Sin eso, sena mas trabajo","Small, it seems okay: Because they have a cistern. Without that it would be more work",No
496,"Poco, le parece bien","Small, it seems okay",No
497,"Poco, le parece bien",Small it seems okay,No